date,call_sign_tx,txlat,txlon,call_sign_rx,rxlat,rxlon,tfreq,sn,smode,ssrc,pthlen,latcen,loncen
2018-12-15 14:30:00,CO5FR,22.8125,-81.625,WA4UFG,34.5,-83.0,14.0,,Raytrace,iri2016,1306,28.6579803789951,-82.27404473204672
2018-12-15 14:40:00,CO5FR,22.8125,-81.625,WA4UFG,34.5,-83.0,14.0,,Raytrace,iri2016,1306,28.6579803789951,-82.27404473204672
2018-12-15 14:50:00,CO5FR,22.8125,-81.625,WA4UFG,34.5,-83.0,14.0,,Raytrace,iri2016,1306,28.6579803789951,-82.27404473204672
2018-12-15 15:00:00,CO5FR,22.8125,-81.625,WA4UFG,34.5,-83.0,14.0,,Raytrace,iri2016,1306,28.6579803789951,-82.27404473204672
2018-12-15 15:10:00,CO5FR,22.8125,-81.625,WA4UFG,34.5,-83.0,14.0,,Raytrace,iri2016,1306,28.6579803789951,-82.27404473204672
2018-12-15 15:20:00,CO5FR,22.8125,-81.625,WA4UFG,34.5,-83.0,14.0,,Raytrace,iri2016,1306,28.6579803789951,-82.27404473204672
2018-12-15 15:30:00,CO5FR,22.8125,-81.625,WA4UFG,34.5,-83.0,14.0,,Raytrace,iri2016,1306,28.6579803789951,-82.27404473204672
2018-12-15 15:40:00,CO5FR,22.8125,-81.625,WA4UFG,34.5,-83.0,14.0,,Raytrace,iri2016,1306,28.6579803789951,-82.27404473204672
2018-12-15 16:00:00,CO5FR,22.8125,-81.625,WA4UFG,34.5,-83.0,14.0,,Raytrace,iri2016,1306,28.6579803789951,-82.27404473204672
2018-12-15 16:10:00,CO5FR,22.8125,-81.625,WA4UFG,34.5,-83.0,14.0,,Raytrace,iri2016,1306,28.6579803789951,-82.27404473204672
2018-12-15 16:20:00,CO5FR,22.8125,-81.625,WA4UFG,34.5,-83.0,14.0,,Raytrace,iri2016,1306,28.6579803789951,-82.27404473204672
2018-12-15 16:30:00,CO5FR,22.8125,-81.625,WA4UFG,34.5,-83.0,14.0,,Raytrace,iri2016,1306,28.6579803789951,-82.27404473204672
2018-12-15 16:40:00,CO5FR,22.8125,-81.625,WA4UFG,34.5,-83.0,14.0,,Raytrace,iri2016,1306,28.6579803789951,-82.27404473204672
2018-12-15 16:50:00,CO5FR,22.8125,-81.625,WA4UFG,34.5,-83.0,14.0,,Raytrace,iri2016,1306,28.6579803789951,-82.27404473204672
2018-12-15 17:00:00,CO5FR,22.8125,-81.625,WA4UFG,34.5,-83.0,14.0,,Raytrace,iri2016,1306,28.6579803789951,-82.27404473204672
2018-12-15 17:10:00,CO5FR,22.8125,-81.625,WA4UFG,34.5,-83.0,14.0,,Raytrace,iri2016,1306,28.6579803789951,-82.27404473204672
2018-12-15 17:20:00,CO5FR,22.8125,-81.625,WA4UFG,34.5,-83.0,14.0,,Raytrace,iri2016,1306,28.6579803789951,-82.27404473204672
2018-12-15 17:30:00,CO5FR,22.8125,-81.625,WA4UFG,34.5,-83.0,14.0,,Raytrace,iri2016,1306,28.6579803789951,-82.27404473204672
2018-12-15 17:40:00,CO5FR,22.8125,-81.625,WA4UFG,34.5,-83.0,14.0,,Raytrace,iri2016,1306,28.6579803789951,-82.27404473204672
2018-12-15 18:00:00,CO5FR,22.8125,-81.625,WA4UFG,34.5,-83.0,14.0,,Raytrace,iri2016,1306,28.6579803789951,-82.27404473204672
2018-12-15 18:10:00,CO5FR,22.8125,-81.625,WA4UFG,34.5,-83.0,14.0,,Raytrace,iri2016,1306,28.6579803789951,-82.27404473204672
2018-12-15 18:20:00,CO5FR,22.8125,-81.625,WA4UFG,34.5,-83.0,14.0,,Raytrace,iri2016,1306,28.6579803789951,-82.27404473204672
2018-12-15 18:30:00,CO5FR,22.8125,-81.625,WA4UFG,34.5,-83.0,14.0,,Raytrace,iri2016,1306,28.6579803789951,-82.27404473204672
2018-12-15 18:40:00,CO5FR,22.8125,-81.625,WA4UFG,34.5,-83.0,14.0,,Raytrace,iri2016,1306,28.6579803789951,-82.27404473204672
2018-12-15 18:50:00,CO5FR,22.8125,-81.625,WA4UFG,34.5,-83.0,14.0,,Raytrace,iri2016,1306,28.6579803789951,-82.27404473204672
2018-12-15 19:00:00,CO5FR,22.8125,-81.625,WA4UFG,34.5,-83.0,14.0,,Raytrace,iri2016,1306,28.6579803789951,-82.27404473204672
2018-12-15 19:10:00,CO5FR,22.8125,-81.625,WA4UFG,34.5,-83.0,14.0,,Raytrace,iri2016,1306,28.6579803789951,-82.27404473204672
2018-12-15 19:20:00,CO5FR,22.8125,-81.625,WA4UFG,34.5,-83.0,14.0,,Raytrace,iri2016,1306,28.6579803789951,-82.27404473204672
