date,call_sign_tx,txlat,txlon,call_sign_rx,rxlat,rxlon,tfreq,sn,smode,ssrc,pthlen,latcen,loncen
2018-12-15 15:10:00,K0NLE,44.1688,-103.3708,W8KER,37.7396,-81.1458,14.0,,Raytrace,iri2016,1990,41.490411706643386,-91.7097521364434
2018-12-15 15:20:00,K0NLE,44.1688,-103.3708,W8KER,37.7396,-81.1458,14.0,,Raytrace,iri2016,1990,41.490411706643386,-91.7097521364434
2018-12-15 15:30:00,K0NLE,44.1688,-103.3708,W8KER,37.7396,-81.1458,14.0,,Raytrace,iri2016,1990,41.490411706643386,-91.7097521364434
2018-12-15 15:50:00,K0NLE,44.1688,-103.3708,W8KER,37.7396,-81.1458,14.0,,Raytrace,iri2016,1990,41.490411706643386,-91.7097521364434
2018-12-15 16:00:00,K0NLE,44.1688,-103.3708,W8KER,37.7396,-81.1458,14.0,,Raytrace,iri2016,1990,41.490411706643386,-91.7097521364434
2018-12-15 16:10:00,K0NLE,44.1688,-103.3708,W8KER,37.7396,-81.1458,14.0,,Raytrace,iri2016,1990,41.490411706643386,-91.7097521364434
2018-12-15 16:20:00,K0NLE,44.1688,-103.3708,W8KER,37.7396,-81.1458,14.0,,Raytrace,iri2016,1990,41.490411706643386,-91.7097521364434
2018-12-15 16:30:00,K0NLE,44.1688,-103.3708,W8KER,37.7396,-81.1458,14.0,,Raytrace,iri2016,1990,41.490411706643386,-91.7097521364434
2018-12-15 16:40:00,K0NLE,44.1688,-103.3708,W8KER,37.7396,-81.1458,14.0,,Raytrace,iri2016,1990,41.490411706643386,-91.7097521364434
2018-12-15 16:50:00,K0NLE,44.1688,-103.3708,W8KER,37.7396,-81.1458,14.0,,Raytrace,iri2016,1990,41.490411706643386,-91.7097521364434
2018-12-15 17:00:00,K0NLE,44.1688,-103.3708,W8KER,37.7396,-81.1458,14.0,,Raytrace,iri2016,1990,41.490411706643386,-91.7097521364434
2018-12-15 17:10:00,K0NLE,44.1688,-103.3708,W8KER,37.7396,-81.1458,14.0,,Raytrace,iri2016,1990,41.490411706643386,-91.7097521364434
2018-12-15 17:20:00,K0NLE,44.1688,-103.3708,W8KER,37.7396,-81.1458,14.0,,Raytrace,iri2016,1990,41.490411706643386,-91.7097521364434
2018-12-15 17:40:00,K0NLE,44.1688,-103.3708,W8KER,37.7396,-81.1458,14.0,,Raytrace,iri2016,1990,41.490411706643386,-91.7097521364434
2018-12-15 17:50:00,K0NLE,44.1688,-103.3708,W8KER,37.7396,-81.1458,14.0,,Raytrace,iri2016,1990,41.490411706643386,-91.7097521364434
2018-12-15 18:00:00,K0NLE,44.1688,-103.3708,W8KER,37.7396,-81.1458,14.0,,Raytrace,iri2016,1990,41.490411706643386,-91.7097521364434
