date,call_sign_tx,txlat,txlon,call_sign_rx,rxlat,rxlon,tfreq,sn,smode,ssrc,pthlen,latcen,loncen
2018-12-15 13:30:00,K1GUY,42.8688,-71.9625,W0WWT,40.4604,-99.2375,14.0,,Raytrace,iri2016,2271,42.47927997338795,-85.86001887432826
2018-12-15 13:40:00,K1GUY,42.8688,-71.9625,W0WWT,40.4604,-99.2375,14.0,,Raytrace,iri2016,2271,42.47927997338795,-85.86001887432826
2018-12-15 13:50:00,K1GUY,42.8688,-71.9625,W0WWT,40.4604,-99.2375,14.0,,Raytrace,iri2016,2271,42.47927997338795,-85.86001887432826
2018-12-15 14:00:00,K1GUY,42.8688,-71.9625,W0WWT,40.4604,-99.2375,14.0,,Raytrace,iri2016,2271,42.47927997338795,-85.86001887432826
2018-12-15 15:00:00,K1GUY,42.8688,-71.9625,W0WWT,40.4604,-99.2375,14.0,,Raytrace,iri2016,2271,42.47927997338795,-85.86001887432826
2018-12-15 15:50:00,K1GUY,42.8688,-71.9625,W0WWT,40.4604,-99.2375,14.0,,Raytrace,iri2016,2271,42.47927997338795,-85.86001887432826
2018-12-15 16:00:00,K1GUY,42.8688,-71.9625,W0WWT,40.4604,-99.2375,14.0,,Raytrace,iri2016,2271,42.47927997338795,-85.86001887432826
2018-12-15 16:10:00,K1GUY,42.8688,-71.9625,W0WWT,40.4604,-99.2375,14.0,,Raytrace,iri2016,2271,42.47927997338795,-85.86001887432826
2018-12-15 16:50:00,K1GUY,42.8688,-71.9625,W0WWT,40.4604,-99.2375,14.0,,Raytrace,iri2016,2271,42.47927997338795,-85.86001887432826
2018-12-15 17:40:00,K1GUY,42.8688,-71.9625,W0WWT,40.4604,-99.2375,14.0,,Raytrace,iri2016,2271,42.47927997338795,-85.86001887432826
2018-12-15 18:00:00,K1GUY,42.8688,-71.9625,W0WWT,40.4604,-99.2375,14.0,,Raytrace,iri2016,2271,42.47927997338795,-85.86001887432826
2018-12-15 18:10:00,K1GUY,42.8688,-71.9625,W0WWT,40.4604,-99.2375,14.0,,Raytrace,iri2016,2271,42.47927997338795,-85.86001887432826
2018-12-15 18:20:00,K1GUY,42.8688,-71.9625,W0WWT,40.4604,-99.2375,14.0,,Raytrace,iri2016,2271,42.47927997338795,-85.86001887432826
2018-12-15 18:50:00,K1GUY,42.8688,-71.9625,W0WWT,40.4604,-99.2375,14.0,,Raytrace,iri2016,2271,42.47927997338795,-85.86001887432826
2018-12-15 19:40:00,K1GUY,42.8688,-71.9625,W0WWT,40.4604,-99.2375,14.0,,Raytrace,iri2016,2271,42.47927997338795,-85.86001887432826
2018-12-15 19:50:00,K1GUY,42.8688,-71.9625,W0WWT,40.4604,-99.2375,14.0,,Raytrace,iri2016,2271,42.47927997338795,-85.86001887432826
2018-12-15 20:00:00,K1GUY,42.8688,-71.9625,W0WWT,40.4604,-99.2375,14.0,,Raytrace,iri2016,2271,42.47927997338795,-85.86001887432826
2018-12-15 20:10:00,K1GUY,42.8688,-71.9625,W0WWT,40.4604,-99.2375,14.0,,Raytrace,iri2016,2271,42.47927997338795,-85.86001887432826
2018-12-15 20:20:00,K1GUY,42.8688,-71.9625,W0WWT,40.4604,-99.2375,14.0,,Raytrace,iri2016,2271,42.47927997338795,-85.86001887432826
2018-12-15 20:50:00,K1GUY,42.8688,-71.9625,W0WWT,40.4604,-99.2375,14.0,,Raytrace,iri2016,2271,42.47927997338795,-85.86001887432826
2018-12-15 21:00:00,K1GUY,42.8688,-71.9625,W0WWT,40.4604,-99.2375,14.0,,Raytrace,iri2016,2271,42.47927997338795,-85.86001887432826
2018-12-15 21:10:00,K1GUY,42.8688,-71.9625,W0WWT,40.4604,-99.2375,14.0,,Raytrace,iri2016,2271,42.47927997338795,-85.86001887432826
2018-12-15 21:20:00,K1GUY,42.8688,-71.9625,W0WWT,40.4604,-99.2375,14.0,,Raytrace,iri2016,2271,42.47927997338795,-85.86001887432826
2018-12-15 21:30:00,K1GUY,42.8688,-71.9625,W0WWT,40.4604,-99.2375,14.0,,Raytrace,iri2016,2271,42.47927997338795,-85.86001887432826
2018-12-15 21:40:00,K1GUY,42.8688,-71.9625,W0WWT,40.4604,-99.2375,14.0,,Raytrace,iri2016,2271,42.47927997338795,-85.86001887432826
2018-12-15 21:50:00,K1GUY,42.8688,-71.9625,W0WWT,40.4604,-99.2375,14.0,,Raytrace,iri2016,2271,42.47927997338795,-85.86001887432826
2018-12-15 22:00:00,K1GUY,42.8688,-71.9625,W0WWT,40.4604,-99.2375,14.0,,Raytrace,iri2016,2271,42.47927997338795,-85.86001887432826
