date,call_sign_tx,txlat,txlon,call_sign_rx,rxlat,rxlon,tfreq,sn,smode,ssrc,pthlen,latcen,loncen
2018-12-15 14:40:00,K4CY,34.0357,-84.7082,KA2KAR,40.8125,-74.125,14.0,,Raytrace,iri2016,1198,37.5420201592473,-79.6570303545144
2018-12-15 14:50:00,K4CY,34.0357,-84.7082,KA2KAR,40.8125,-74.125,14.0,,Raytrace,iri2016,1198,37.5420201592473,-79.6570303545144
2018-12-15 15:00:00,K4CY,34.0357,-84.7082,KA2KAR,40.8125,-74.125,14.0,,Raytrace,iri2016,1198,37.5420201592473,-79.6570303545144
2018-12-15 16:30:00,K4CY,34.0357,-84.7082,KA2KAR,40.8125,-74.125,14.0,,Raytrace,iri2016,1198,37.5420201592473,-79.6570303545144
2018-12-15 16:40:00,K4CY,34.0357,-84.7082,KA2KAR,40.8125,-74.125,14.0,,Raytrace,iri2016,1198,37.5420201592473,-79.6570303545144
2018-12-15 16:50:00,K4CY,34.0357,-84.7082,KA2KAR,40.8125,-74.125,14.0,,Raytrace,iri2016,1198,37.5420201592473,-79.6570303545144
2018-12-15 17:00:00,K4CY,34.0357,-84.7082,KA2KAR,40.8125,-74.125,14.0,,Raytrace,iri2016,1198,37.5420201592473,-79.6570303545144
2018-12-15 17:10:00,K4CY,34.0357,-84.7082,KA2KAR,40.8125,-74.125,14.0,,Raytrace,iri2016,1198,37.5420201592473,-79.6570303545144
2018-12-15 18:30:00,K4CY,34.0357,-84.7082,KA2KAR,40.8125,-74.125,14.0,,Raytrace,iri2016,1198,37.5420201592473,-79.6570303545144
2018-12-15 18:40:00,K4CY,34.0357,-84.7082,KA2KAR,40.8125,-74.125,14.0,,Raytrace,iri2016,1198,37.5420201592473,-79.6570303545144
2018-12-15 18:50:00,K4CY,34.0357,-84.7082,KA2KAR,40.8125,-74.125,14.0,,Raytrace,iri2016,1198,37.5420201592473,-79.6570303545144
2018-12-15 19:00:00,K4CY,34.0357,-84.7082,KA2KAR,40.8125,-74.125,14.0,,Raytrace,iri2016,1198,37.5420201592473,-79.6570303545144
2018-12-15 19:10:00,K4CY,34.0357,-84.7082,KA2KAR,40.8125,-74.125,14.0,,Raytrace,iri2016,1198,37.5420201592473,-79.6570303545144
