date,call_sign_tx,txlat,txlon,call_sign_rx,rxlat,rxlon,tfreq,sn,smode,ssrc,pthlen,latcen,loncen
2018-12-15 15:50:00,K4ZLT,35.6313,-82.4792,VE2WU,45.0048,-73.9212,14.0,,Raytrace,iri2016,1268,40.39658527415291,-78.49844346036662
2018-12-15 16:00:00,K4ZLT,35.6313,-82.4792,VE2WU,45.0048,-73.9212,14.0,,Raytrace,iri2016,1268,40.39658527415291,-78.49844346036662
2018-12-15 16:10:00,K4ZLT,35.6313,-82.4792,VE2WU,45.0048,-73.9212,14.0,,Raytrace,iri2016,1268,40.39658527415291,-78.49844346036662
2018-12-15 16:20:00,K4ZLT,35.6313,-82.4792,VE2WU,45.0048,-73.9212,14.0,,Raytrace,iri2016,1268,40.39658527415291,-78.49844346036662
2018-12-15 16:30:00,K4ZLT,35.6313,-82.4792,VE2WU,45.0048,-73.9212,14.0,,Raytrace,iri2016,1268,40.39658527415291,-78.49844346036662
2018-12-15 16:40:00,K4ZLT,35.6313,-82.4792,VE2WU,45.0048,-73.9212,14.0,,Raytrace,iri2016,1268,40.39658527415291,-78.49844346036662
2018-12-15 17:50:00,K4ZLT,35.6313,-82.4792,VE2WU,45.0048,-73.9212,14.0,,Raytrace,iri2016,1268,40.39658527415291,-78.49844346036662
2018-12-15 18:00:00,K4ZLT,35.6313,-82.4792,VE2WU,45.0048,-73.9212,14.0,,Raytrace,iri2016,1268,40.39658527415291,-78.49844346036662
2018-12-15 18:10:00,K4ZLT,35.6313,-82.4792,VE2WU,45.0048,-73.9212,14.0,,Raytrace,iri2016,1268,40.39658527415291,-78.49844346036662
2018-12-15 18:20:00,K4ZLT,35.6313,-82.4792,VE2WU,45.0048,-73.9212,14.0,,Raytrace,iri2016,1268,40.39658527415291,-78.49844346036662
2018-12-15 18:30:00,K4ZLT,35.6313,-82.4792,VE2WU,45.0048,-73.9212,14.0,,Raytrace,iri2016,1268,40.39658527415291,-78.49844346036662
2018-12-15 18:40:00,K4ZLT,35.6313,-82.4792,VE2WU,45.0048,-73.9212,14.0,,Raytrace,iri2016,1268,40.39658527415291,-78.49844346036662
2018-12-15 20:00:00,K4ZLT,35.6313,-82.4792,VE2WU,45.0048,-73.9212,14.0,,Raytrace,iri2016,1268,40.39658527415291,-78.49844346036662
2018-12-15 20:10:00,K4ZLT,35.6313,-82.4792,VE2WU,45.0048,-73.9212,14.0,,Raytrace,iri2016,1268,40.39658527415291,-78.49844346036662
2018-12-15 20:20:00,K4ZLT,35.6313,-82.4792,VE2WU,45.0048,-73.9212,14.0,,Raytrace,iri2016,1268,40.39658527415291,-78.49844346036662
