date,call_sign_tx,txlat,txlon,call_sign_rx,rxlat,rxlon,tfreq,sn,smode,ssrc,pthlen,latcen,loncen
2018-12-15 16:40:00,K5RHZ,32.5537,-97.4085,AA7CU,31.5625,-110.2083,14.0,,Raytrace,iri2016,1210,32.21943744926789,-103.84321551311024
2018-12-15 16:50:00,K5RHZ,32.5537,-97.4085,AA7CU,31.5625,-110.2083,14.0,,Raytrace,iri2016,1210,32.21943744926789,-103.84321551311024
2018-12-15 17:00:00,K5RHZ,32.5537,-97.4085,AA7CU,31.5625,-110.2083,14.0,,Raytrace,iri2016,1210,32.21943744926789,-103.84321551311024
2018-12-15 17:10:00,K5RHZ,32.5537,-97.4085,AA7CU,31.5625,-110.2083,14.0,,Raytrace,iri2016,1210,32.21943744926789,-103.84321551311024
2018-12-15 17:20:00,K5RHZ,32.5537,-97.4085,AA7CU,31.5625,-110.2083,14.0,,Raytrace,iri2016,1210,32.21943744926789,-103.84321551311024
2018-12-15 17:30:00,K5RHZ,32.5537,-97.4085,AA7CU,31.5625,-110.2083,14.0,,Raytrace,iri2016,1210,32.21943744926789,-103.84321551311024
2018-12-15 18:30:00,K5RHZ,32.5537,-97.4085,AA7CU,31.5625,-110.2083,14.0,,Raytrace,iri2016,1210,32.21943744926789,-103.84321551311024
2018-12-15 18:40:00,K5RHZ,32.5537,-97.4085,AA7CU,31.5625,-110.2083,14.0,,Raytrace,iri2016,1210,32.21943744926789,-103.84321551311024
2018-12-15 18:50:00,K5RHZ,32.5537,-97.4085,AA7CU,31.5625,-110.2083,14.0,,Raytrace,iri2016,1210,32.21943744926789,-103.84321551311024
2018-12-15 19:00:00,K5RHZ,32.5537,-97.4085,AA7CU,31.5625,-110.2083,14.0,,Raytrace,iri2016,1210,32.21943744926789,-103.84321551311024
2018-12-15 19:10:00,K5RHZ,32.5537,-97.4085,AA7CU,31.5625,-110.2083,14.0,,Raytrace,iri2016,1210,32.21943744926789,-103.84321551311024
2018-12-15 19:20:00,K5RHZ,32.5537,-97.4085,AA7CU,31.5625,-110.2083,14.0,,Raytrace,iri2016,1210,32.21943744926789,-103.84321551311024
2018-12-15 19:30:00,K5RHZ,32.5537,-97.4085,AA7CU,31.5625,-110.2083,14.0,,Raytrace,iri2016,1210,32.21943744926789,-103.84321551311024
2018-12-15 20:40:00,K5RHZ,32.5537,-97.4085,AA7CU,31.5625,-110.2083,14.0,,Raytrace,iri2016,1210,32.21943744926789,-103.84321551311024
2018-12-15 20:50:00,K5RHZ,32.5537,-97.4085,AA7CU,31.5625,-110.2083,14.0,,Raytrace,iri2016,1210,32.21943744926789,-103.84321551311024
2018-12-15 21:00:00,K5RHZ,32.5537,-97.4085,AA7CU,31.5625,-110.2083,14.0,,Raytrace,iri2016,1210,32.21943744926789,-103.84321551311024
2018-12-15 21:10:00,K5RHZ,32.5537,-97.4085,AA7CU,31.5625,-110.2083,14.0,,Raytrace,iri2016,1210,32.21943744926789,-103.84321551311024
2018-12-15 21:20:00,K5RHZ,32.5537,-97.4085,AA7CU,31.5625,-110.2083,14.0,,Raytrace,iri2016,1210,32.21943744926789,-103.84321551311024
2018-12-15 21:30:00,K5RHZ,32.5537,-97.4085,AA7CU,31.5625,-110.2083,14.0,,Raytrace,iri2016,1210,32.21943744926789,-103.84321551311024
