date,call_sign_tx,txlat,txlon,call_sign_rx,rxlat,rxlon,tfreq,sn,smode,ssrc,pthlen,latcen,loncen
2018-12-15 15:40:00,KB0HL,38.8125,-91.0417,VA6TDG,51.0208,-113.9583,14.0,,Raytrace,iri2016,2242,45.48666860919237,-101.26182101581702
2018-12-15 16:00:00,KB0HL,38.8125,-91.0417,VA6TDG,51.0208,-113.9583,14.0,,Raytrace,iri2016,2242,45.48666860919237,-101.26182101581702
2018-12-15 16:20:00,KB0HL,38.8125,-91.0417,VA6TDG,51.0208,-113.9583,14.0,,Raytrace,iri2016,2242,45.48666860919237,-101.26182101581702
2018-12-15 16:40:00,KB0HL,38.8125,-91.0417,VA6TDG,51.0208,-113.9583,14.0,,Raytrace,iri2016,2242,45.48666860919237,-101.26182101581702
2018-12-15 17:20:00,KB0HL,38.8125,-91.0417,VA6TDG,51.0208,-113.9583,14.0,,Raytrace,iri2016,2242,45.48666860919237,-101.26182101581702
2018-12-15 17:30:00,KB0HL,38.8125,-91.0417,VA6TDG,51.0208,-113.9583,14.0,,Raytrace,iri2016,2242,45.48666860919237,-101.26182101581702
2018-12-15 17:40:00,KB0HL,38.8125,-91.0417,VA6TDG,51.0208,-113.9583,14.0,,Raytrace,iri2016,2242,45.48666860919237,-101.26182101581702
2018-12-15 18:00:00,KB0HL,38.8125,-91.0417,VA6TDG,51.0208,-113.9583,14.0,,Raytrace,iri2016,2242,45.48666860919237,-101.26182101581702
2018-12-15 19:10:00,KB0HL,38.8125,-91.0417,VA6TDG,51.0208,-113.9583,14.0,,Raytrace,iri2016,2242,45.48666860919237,-101.26182101581702
2018-12-15 19:20:00,KB0HL,38.8125,-91.0417,VA6TDG,51.0208,-113.9583,14.0,,Raytrace,iri2016,2242,45.48666860919237,-101.26182101581702
2018-12-15 19:50:00,KB0HL,38.8125,-91.0417,VA6TDG,51.0208,-113.9583,14.0,,Raytrace,iri2016,2242,45.48666860919237,-101.26182101581702
2018-12-15 20:10:00,KB0HL,38.8125,-91.0417,VA6TDG,51.0208,-113.9583,14.0,,Raytrace,iri2016,2242,45.48666860919237,-101.26182101581702
2018-12-15 21:00:00,KB0HL,38.8125,-91.0417,VA6TDG,51.0208,-113.9583,14.0,,Raytrace,iri2016,2242,45.48666860919237,-101.26182101581702
2018-12-15 21:10:00,KB0HL,38.8125,-91.0417,VA6TDG,51.0208,-113.9583,14.0,,Raytrace,iri2016,2242,45.48666860919237,-101.26182101581702
2018-12-15 21:20:00,KB0HL,38.8125,-91.0417,VA6TDG,51.0208,-113.9583,14.0,,Raytrace,iri2016,2242,45.48666860919237,-101.26182101581702
2018-12-15 21:50:00,KB0HL,38.8125,-91.0417,VA6TDG,51.0208,-113.9583,14.0,,Raytrace,iri2016,2242,45.48666860919237,-101.26182101581702
2018-12-15 22:00:00,KB0HL,38.8125,-91.0417,VA6TDG,51.0208,-113.9583,14.0,,Raytrace,iri2016,2242,45.48666860919237,-101.26182101581702
2018-12-15 22:20:00,KB0HL,38.8125,-91.0417,VA6TDG,51.0208,-113.9583,14.0,,Raytrace,iri2016,2242,45.48666860919237,-101.26182101581702
2018-12-15 22:40:00,KB0HL,38.8125,-91.0417,VA6TDG,51.0208,-113.9583,14.0,,Raytrace,iri2016,2242,45.48666860919237,-101.26182101581702
2018-12-15 22:50:00,KB0HL,38.8125,-91.0417,VA6TDG,51.0208,-113.9583,14.0,,Raytrace,iri2016,2242,45.48666860919237,-101.26182101581702
