date,call_sign_tx,txlat,txlon,call_sign_rx,rxlat,rxlon,tfreq,sn,smode,ssrc,pthlen,latcen,loncen
2018-12-15 14:50:00,KB9SCT,43.0208,-91.125,K6ME,40.2813,-120.4958,14.0,,Raytrace,iri2016,2446,42.59725887609435,-106.12974211437302
2018-12-15 15:00:00,KB9SCT,43.0208,-91.125,K6ME,40.2813,-120.4958,14.0,,Raytrace,iri2016,2446,42.59725887609435,-106.12974211437302
2018-12-15 16:10:00,KB9SCT,43.0208,-91.125,K6ME,40.2813,-120.4958,14.0,,Raytrace,iri2016,2446,42.59725887609435,-106.12974211437302
2018-12-15 16:20:00,KB9SCT,43.0208,-91.125,K6ME,40.2813,-120.4958,14.0,,Raytrace,iri2016,2446,42.59725887609435,-106.12974211437302
2018-12-15 16:50:00,KB9SCT,43.0208,-91.125,K6ME,40.2813,-120.4958,14.0,,Raytrace,iri2016,2446,42.59725887609435,-106.12974211437302
2018-12-15 17:30:00,KB9SCT,43.0208,-91.125,K6ME,40.2813,-120.4958,14.0,,Raytrace,iri2016,2446,42.59725887609435,-106.12974211437302
2018-12-15 17:50:00,KB9SCT,43.0208,-91.125,K6ME,40.2813,-120.4958,14.0,,Raytrace,iri2016,2446,42.59725887609435,-106.12974211437302
2018-12-15 18:00:00,KB9SCT,43.0208,-91.125,K6ME,40.2813,-120.4958,14.0,,Raytrace,iri2016,2446,42.59725887609435,-106.12974211437302
2018-12-15 19:30:00,KB9SCT,43.0208,-91.125,K6ME,40.2813,-120.4958,14.0,,Raytrace,iri2016,2446,42.59725887609435,-106.12974211437302
2018-12-15 19:40:00,KB9SCT,43.0208,-91.125,K6ME,40.2813,-120.4958,14.0,,Raytrace,iri2016,2446,42.59725887609435,-106.12974211437302
2018-12-15 19:50:00,KB9SCT,43.0208,-91.125,K6ME,40.2813,-120.4958,14.0,,Raytrace,iri2016,2446,42.59725887609435,-106.12974211437302
2018-12-15 20:00:00,KB9SCT,43.0208,-91.125,K6ME,40.2813,-120.4958,14.0,,Raytrace,iri2016,2446,42.59725887609435,-106.12974211437302
2018-12-15 21:10:00,KB9SCT,43.0208,-91.125,K6ME,40.2813,-120.4958,14.0,,Raytrace,iri2016,2446,42.59725887609435,-106.12974211437302
2018-12-15 21:30:00,KB9SCT,43.0208,-91.125,K6ME,40.2813,-120.4958,14.0,,Raytrace,iri2016,2446,42.59725887609435,-106.12974211437302
2018-12-15 21:50:00,KB9SCT,43.0208,-91.125,K6ME,40.2813,-120.4958,14.0,,Raytrace,iri2016,2446,42.59725887609435,-106.12974211437302
2018-12-15 22:10:00,KB9SCT,43.0208,-91.125,K6ME,40.2813,-120.4958,14.0,,Raytrace,iri2016,2446,42.59725887609435,-106.12974211437302
2018-12-15 22:20:00,KB9SCT,43.0208,-91.125,K6ME,40.2813,-120.4958,14.0,,Raytrace,iri2016,2446,42.59725887609435,-106.12974211437302
2018-12-15 22:30:00,KB9SCT,43.0208,-91.125,K6ME,40.2813,-120.4958,14.0,,Raytrace,iri2016,2446,42.59725887609435,-106.12974211437302
2018-12-15 22:40:00,KB9SCT,43.0208,-91.125,K6ME,40.2813,-120.4958,14.0,,Raytrace,iri2016,2446,42.59725887609435,-106.12974211437302
2018-12-15 22:50:00,KB9SCT,43.0208,-91.125,K6ME,40.2813,-120.4958,14.0,,Raytrace,iri2016,2446,42.59725887609435,-106.12974211437302
2018-12-15 23:00:00,KB9SCT,43.0208,-91.125,K6ME,40.2813,-120.4958,14.0,,Raytrace,iri2016,2446,42.59725887609435,-106.12974211437302
2018-12-15 23:10:00,KB9SCT,43.0208,-91.125,K6ME,40.2813,-120.4958,14.0,,Raytrace,iri2016,2446,42.59725887609435,-106.12974211437302
