date,call_sign_tx,txlat,txlon,call_sign_rx,rxlat,rxlon,tfreq,sn,smode,ssrc,pthlen,latcen,loncen
2018-12-15 14:10:00,KD4CM,30.5208,-81.7917,AE5X,30.0521,-95.2208,14.0,,Raytrace,iri2016,1289,30.458472846258978,-88.52236370978443
2018-12-15 14:20:00,KD4CM,30.5208,-81.7917,AE5X,30.0521,-95.2208,14.0,,Raytrace,iri2016,1289,30.458472846258978,-88.52236370978443
2018-12-15 14:30:00,KD4CM,30.5208,-81.7917,AE5X,30.0521,-95.2208,14.0,,Raytrace,iri2016,1289,30.458472846258978,-88.52236370978443
2018-12-15 15:40:00,KD4CM,30.5208,-81.7917,AE5X,30.0521,-95.2208,14.0,,Raytrace,iri2016,1289,30.458472846258978,-88.52236370978443
2018-12-15 15:50:00,KD4CM,30.5208,-81.7917,AE5X,30.0521,-95.2208,14.0,,Raytrace,iri2016,1289,30.458472846258978,-88.52236370978443
2018-12-15 16:00:00,KD4CM,30.5208,-81.7917,AE5X,30.0521,-95.2208,14.0,,Raytrace,iri2016,1289,30.458472846258978,-88.52236370978443
2018-12-15 16:10:00,KD4CM,30.5208,-81.7917,AE5X,30.0521,-95.2208,14.0,,Raytrace,iri2016,1289,30.458472846258978,-88.52236370978443
2018-12-15 16:20:00,KD4CM,30.5208,-81.7917,AE5X,30.0521,-95.2208,14.0,,Raytrace,iri2016,1289,30.458472846258978,-88.52236370978443
2018-12-15 16:30:00,KD4CM,30.5208,-81.7917,AE5X,30.0521,-95.2208,14.0,,Raytrace,iri2016,1289,30.458472846258978,-88.52236370978443
2018-12-15 16:40:00,KD4CM,30.5208,-81.7917,AE5X,30.0521,-95.2208,14.0,,Raytrace,iri2016,1289,30.458472846258978,-88.52236370978443
2018-12-15 17:30:00,KD4CM,30.5208,-81.7917,AE5X,30.0521,-95.2208,14.0,,Raytrace,iri2016,1289,30.458472846258978,-88.52236370978443
2018-12-15 17:40:00,KD4CM,30.5208,-81.7917,AE5X,30.0521,-95.2208,14.0,,Raytrace,iri2016,1289,30.458472846258978,-88.52236370978443
2018-12-15 17:50:00,KD4CM,30.5208,-81.7917,AE5X,30.0521,-95.2208,14.0,,Raytrace,iri2016,1289,30.458472846258978,-88.52236370978443
2018-12-15 18:00:00,KD4CM,30.5208,-81.7917,AE5X,30.0521,-95.2208,14.0,,Raytrace,iri2016,1289,30.458472846258978,-88.52236370978443
2018-12-15 18:10:00,KD4CM,30.5208,-81.7917,AE5X,30.0521,-95.2208,14.0,,Raytrace,iri2016,1289,30.458472846258978,-88.52236370978443
2018-12-15 18:20:00,KD4CM,30.5208,-81.7917,AE5X,30.0521,-95.2208,14.0,,Raytrace,iri2016,1289,30.458472846258978,-88.52236370978443
2018-12-15 18:30:00,KD4CM,30.5208,-81.7917,AE5X,30.0521,-95.2208,14.0,,Raytrace,iri2016,1289,30.458472846258978,-88.52236370978443
2018-12-15 18:40:00,KD4CM,30.5208,-81.7917,AE5X,30.0521,-95.2208,14.0,,Raytrace,iri2016,1289,30.458472846258978,-88.52236370978443
2018-12-15 19:40:00,KD4CM,30.5208,-81.7917,AE5X,30.0521,-95.2208,14.0,,Raytrace,iri2016,1289,30.458472846258978,-88.52236370978443
2018-12-15 19:50:00,KD4CM,30.5208,-81.7917,AE5X,30.0521,-95.2208,14.0,,Raytrace,iri2016,1289,30.458472846258978,-88.52236370978443
2018-12-15 20:00:00,KD4CM,30.5208,-81.7917,AE5X,30.0521,-95.2208,14.0,,Raytrace,iri2016,1289,30.458472846258978,-88.52236370978443
2018-12-15 20:10:00,KD4CM,30.5208,-81.7917,AE5X,30.0521,-95.2208,14.0,,Raytrace,iri2016,1289,30.458472846258978,-88.52236370978443
2018-12-15 20:20:00,KD4CM,30.5208,-81.7917,AE5X,30.0521,-95.2208,14.0,,Raytrace,iri2016,1289,30.458472846258978,-88.52236370978443
2018-12-15 20:30:00,KD4CM,30.5208,-81.7917,AE5X,30.0521,-95.2208,14.0,,Raytrace,iri2016,1289,30.458472846258978,-88.52236370978443
2018-12-15 20:40:00,KD4CM,30.5208,-81.7917,AE5X,30.0521,-95.2208,14.0,,Raytrace,iri2016,1289,30.458472846258978,-88.52236370978443
2018-12-15 21:50:00,KD4CM,30.5208,-81.7917,AE5X,30.0521,-95.2208,14.0,,Raytrace,iri2016,1289,30.458472846258978,-88.52236370978443
2018-12-15 22:00:00,KD4CM,30.5208,-81.7917,AE5X,30.0521,-95.2208,14.0,,Raytrace,iri2016,1289,30.458472846258978,-88.52236370978443
2018-12-15 22:10:00,KD4CM,30.5208,-81.7917,AE5X,30.0521,-95.2208,14.0,,Raytrace,iri2016,1289,30.458472846258978,-88.52236370978443
