date,call_sign_tx,txlat,txlon,call_sign_rx,rxlat,rxlon,tfreq,sn,smode,ssrc,pthlen,latcen,loncen
2018-12-15 14:00:00,KF5ZBL,32.9188,-96.8875,N2HQI,43.0208333333333,-76.4583333333333,14.0,,Raytrace,iri2016,2105,38.41248607866536,-87.38504007357204
2018-12-15 14:10:00,KF5ZBL,32.9188,-96.8875,N2HQI,43.0208333333333,-76.4583333333333,14.0,,Raytrace,iri2016,2105,38.41248607866536,-87.38504007357204
2018-12-15 14:30:00,KF5ZBL,32.9188,-96.8875,N2HQI,43.0208333333333,-76.4583333333333,14.0,,Raytrace,iri2016,2105,38.41248607866536,-87.38504007357204
2018-12-15 15:00:00,KF5ZBL,32.9188,-96.8875,N2HQI,43.0208333333333,-76.4583333333333,14.0,,Raytrace,iri2016,2105,38.41248607866536,-87.38504007357204
2018-12-15 15:10:00,KF5ZBL,32.9188,-96.8875,N2HQI,43.0208333333333,-76.4583333333333,14.0,,Raytrace,iri2016,2105,38.41248607866536,-87.38504007357204
2018-12-15 15:20:00,KF5ZBL,32.9188,-96.8875,N2HQI,43.0208333333333,-76.4583333333333,14.0,,Raytrace,iri2016,2105,38.41248607866536,-87.38504007357204
2018-12-15 15:30:00,KF5ZBL,32.9188,-96.8875,N2HQI,43.0208333333333,-76.4583333333333,14.0,,Raytrace,iri2016,2105,38.41248607866536,-87.38504007357204
2018-12-15 15:40:00,KF5ZBL,32.9188,-96.8875,N2HQI,43.0208333333333,-76.4583333333333,14.0,,Raytrace,iri2016,2105,38.41248607866536,-87.38504007357204
2018-12-15 15:50:00,KF5ZBL,32.9188,-96.8875,N2HQI,43.0208333333333,-76.4583333333333,14.0,,Raytrace,iri2016,2105,38.41248607866536,-87.38504007357204
2018-12-15 16:50:00,KF5ZBL,32.9188,-96.8875,N2HQI,43.0208333333333,-76.4583333333333,14.0,,Raytrace,iri2016,2105,38.41248607866536,-87.38504007357204
2018-12-15 17:00:00,KF5ZBL,32.9188,-96.8875,N2HQI,43.0208333333333,-76.4583333333333,14.0,,Raytrace,iri2016,2105,38.41248607866536,-87.38504007357204
2018-12-15 17:10:00,KF5ZBL,32.9188,-96.8875,N2HQI,43.0208333333333,-76.4583333333333,14.0,,Raytrace,iri2016,2105,38.41248607866536,-87.38504007357204
2018-12-15 17:20:00,KF5ZBL,32.9188,-96.8875,N2HQI,43.0208333333333,-76.4583333333333,14.0,,Raytrace,iri2016,2105,38.41248607866536,-87.38504007357204
2018-12-15 17:30:00,KF5ZBL,32.9188,-96.8875,N2HQI,43.0208333333333,-76.4583333333333,14.0,,Raytrace,iri2016,2105,38.41248607866536,-87.38504007357204
2018-12-15 17:40:00,KF5ZBL,32.9188,-96.8875,N2HQI,43.0208333333333,-76.4583333333333,14.0,,Raytrace,iri2016,2105,38.41248607866536,-87.38504007357204
2018-12-15 18:40:00,KF5ZBL,32.9188,-96.8875,N2HQI,43.0208333333333,-76.4583333333333,14.0,,Raytrace,iri2016,2105,38.41248607866536,-87.38504007357204
2018-12-15 19:10:00,KF5ZBL,32.9188,-96.8875,N2HQI,43.0208333333333,-76.4583333333333,14.0,,Raytrace,iri2016,2105,38.41248607866536,-87.38504007357204
2018-12-15 19:20:00,KF5ZBL,32.9188,-96.8875,N2HQI,43.0208333333333,-76.4583333333333,14.0,,Raytrace,iri2016,2105,38.41248607866536,-87.38504007357204
2018-12-15 19:30:00,KF5ZBL,32.9188,-96.8875,N2HQI,43.0208333333333,-76.4583333333333,14.0,,Raytrace,iri2016,2105,38.41248607866536,-87.38504007357204
2018-12-15 19:40:00,KF5ZBL,32.9188,-96.8875,N2HQI,43.0208333333333,-76.4583333333333,14.0,,Raytrace,iri2016,2105,38.41248607866536,-87.38504007357204
2018-12-15 19:50:00,KF5ZBL,32.9188,-96.8875,N2HQI,43.0208333333333,-76.4583333333333,14.0,,Raytrace,iri2016,2105,38.41248607866536,-87.38504007357204
2018-12-15 20:00:00,KF5ZBL,32.9188,-96.8875,N2HQI,43.0208333333333,-76.4583333333333,14.0,,Raytrace,iri2016,2105,38.41248607866536,-87.38504007357204
2018-12-15 20:10:00,KF5ZBL,32.9188,-96.8875,N2HQI,43.0208333333333,-76.4583333333333,14.0,,Raytrace,iri2016,2105,38.41248607866536,-87.38504007357204
2018-12-15 20:20:00,KF5ZBL,32.9188,-96.8875,N2HQI,43.0208333333333,-76.4583333333333,14.0,,Raytrace,iri2016,2105,38.41248607866536,-87.38504007357204
2018-12-15 20:40:00,KF5ZBL,32.9188,-96.8875,N2HQI,43.0208333333333,-76.4583333333333,14.0,,Raytrace,iri2016,2105,38.41248607866536,-87.38504007357204
2018-12-15 20:50:00,KF5ZBL,32.9188,-96.8875,N2HQI,43.0208333333333,-76.4583333333333,14.0,,Raytrace,iri2016,2105,38.41248607866536,-87.38504007357204
2018-12-15 21:00:00,KF5ZBL,32.9188,-96.8875,N2HQI,43.0208333333333,-76.4583333333333,14.0,,Raytrace,iri2016,2105,38.41248607866536,-87.38504007357204
2018-12-15 21:10:00,KF5ZBL,32.9188,-96.8875,N2HQI,43.0208333333333,-76.4583333333333,14.0,,Raytrace,iri2016,2105,38.41248607866536,-87.38504007357204
