date,call_sign_tx,txlat,txlon,call_sign_rx,rxlat,rxlon,tfreq,sn,smode,ssrc,pthlen,latcen,loncen
2018-12-15 15:10:00,KM4AIJ,29.2708,-82.2083,K3EJJ,39.2604,-76.7958,14.0,,Raytrace,iri2016,1216,34.29525035663091,-79.66330363265206
2018-12-15 15:20:00,KM4AIJ,29.2708,-82.2083,K3EJJ,39.2604,-76.7958,14.0,,Raytrace,iri2016,1216,34.29525035663091,-79.66330363265206
2018-12-15 15:30:00,KM4AIJ,29.2708,-82.2083,K3EJJ,39.2604,-76.7958,14.0,,Raytrace,iri2016,1216,34.29525035663091,-79.66330363265206
2018-12-15 15:40:00,KM4AIJ,29.2708,-82.2083,K3EJJ,39.2604,-76.7958,14.0,,Raytrace,iri2016,1216,34.29525035663091,-79.66330363265206
2018-12-15 15:50:00,KM4AIJ,29.2708,-82.2083,K3EJJ,39.2604,-76.7958,14.0,,Raytrace,iri2016,1216,34.29525035663091,-79.66330363265206
2018-12-15 16:00:00,KM4AIJ,29.2708,-82.2083,K3EJJ,39.2604,-76.7958,14.0,,Raytrace,iri2016,1216,34.29525035663091,-79.66330363265206
2018-12-15 17:00:00,KM4AIJ,29.2708,-82.2083,K3EJJ,39.2604,-76.7958,14.0,,Raytrace,iri2016,1216,34.29525035663091,-79.66330363265206
2018-12-15 17:10:00,KM4AIJ,29.2708,-82.2083,K3EJJ,39.2604,-76.7958,14.0,,Raytrace,iri2016,1216,34.29525035663091,-79.66330363265206
2018-12-15 17:20:00,KM4AIJ,29.2708,-82.2083,K3EJJ,39.2604,-76.7958,14.0,,Raytrace,iri2016,1216,34.29525035663091,-79.66330363265206
2018-12-15 17:30:00,KM4AIJ,29.2708,-82.2083,K3EJJ,39.2604,-76.7958,14.0,,Raytrace,iri2016,1216,34.29525035663091,-79.66330363265206
2018-12-15 17:40:00,KM4AIJ,29.2708,-82.2083,K3EJJ,39.2604,-76.7958,14.0,,Raytrace,iri2016,1216,34.29525035663091,-79.66330363265206
2018-12-15 17:50:00,KM4AIJ,29.2708,-82.2083,K3EJJ,39.2604,-76.7958,14.0,,Raytrace,iri2016,1216,34.29525035663091,-79.66330363265206
2018-12-15 18:00:00,KM4AIJ,29.2708,-82.2083,K3EJJ,39.2604,-76.7958,14.0,,Raytrace,iri2016,1216,34.29525035663091,-79.66330363265206
2018-12-15 18:10:00,KM4AIJ,29.2708,-82.2083,K3EJJ,39.2604,-76.7958,14.0,,Raytrace,iri2016,1216,34.29525035663091,-79.66330363265206
2018-12-15 19:10:00,KM4AIJ,29.2708,-82.2083,K3EJJ,39.2604,-76.7958,14.0,,Raytrace,iri2016,1216,34.29525035663091,-79.66330363265206
2018-12-15 19:20:00,KM4AIJ,29.2708,-82.2083,K3EJJ,39.2604,-76.7958,14.0,,Raytrace,iri2016,1216,34.29525035663091,-79.66330363265206
2018-12-15 19:30:00,KM4AIJ,29.2708,-82.2083,K3EJJ,39.2604,-76.7958,14.0,,Raytrace,iri2016,1216,34.29525035663091,-79.66330363265206
2018-12-15 19:40:00,KM4AIJ,29.2708,-82.2083,K3EJJ,39.2604,-76.7958,14.0,,Raytrace,iri2016,1216,34.29525035663091,-79.66330363265206
2018-12-15 19:50:00,KM4AIJ,29.2708,-82.2083,K3EJJ,39.2604,-76.7958,14.0,,Raytrace,iri2016,1216,34.29525035663091,-79.66330363265206
2018-12-15 20:00:00,KM4AIJ,29.2708,-82.2083,K3EJJ,39.2604,-76.7958,14.0,,Raytrace,iri2016,1216,34.29525035663091,-79.66330363265206
