date,call_sign_tx,txlat,txlon,call_sign_rx,rxlat,rxlon,tfreq,sn,smode,ssrc,pthlen,latcen,loncen
2018-12-15 15:20:00,KS4AA,48.4646,-114.0019,K8AJS,40.8104,-81.9292,14.0,,Raytrace,iri2016,2653,45.76929104899911,-96.87786305246777
2018-12-15 15:40:00,KS4AA,48.4646,-114.0019,K8AJS,40.8104,-81.9292,14.0,,Raytrace,iri2016,2653,45.76929104899911,-96.87786305246777
2018-12-15 15:50:00,KS4AA,48.4646,-114.0019,K8AJS,40.8104,-81.9292,14.0,,Raytrace,iri2016,2653,45.76929104899911,-96.87786305246777
2018-12-15 17:20:00,KS4AA,48.4646,-114.0019,K8AJS,40.8104,-81.9292,14.0,,Raytrace,iri2016,2653,45.76929104899911,-96.87786305246777
2018-12-15 21:10:00,KS4AA,48.4646,-114.0019,K8AJS,40.8104,-81.9292,14.0,,Raytrace,iri2016,2653,45.76929104899911,-96.87786305246777
2018-12-15 21:20:00,KS4AA,48.4646,-114.0019,K8AJS,40.8104,-81.9292,14.0,,Raytrace,iri2016,2653,45.76929104899911,-96.87786305246777
2018-12-15 22:20:00,KS4AA,48.4646,-114.0019,K8AJS,40.8104,-81.9292,14.0,,Raytrace,iri2016,2653,45.76929104899911,-96.87786305246777
2018-12-15 22:40:00,KS4AA,48.4646,-114.0019,K8AJS,40.8104,-81.9292,14.0,,Raytrace,iri2016,2653,45.76929104899911,-96.87786305246777
2018-12-15 22:50:00,KS4AA,48.4646,-114.0019,K8AJS,40.8104,-81.9292,14.0,,Raytrace,iri2016,2653,45.76929104899911,-96.87786305246777
2018-12-15 23:00:00,KS4AA,48.4646,-114.0019,K8AJS,40.8104,-81.9292,14.0,,Raytrace,iri2016,2653,45.76929104899911,-96.87786305246777
