date,call_sign_tx,txlat,txlon,call_sign_rx,rxlat,rxlon,tfreq,sn,smode,ssrc,pthlen,latcen,loncen
2018-12-15 15:10:00,N5QN,32.9521,-97.1375,KI7TYH,47.5688,-122.3958,14.0,,Raytrace,iri2016,2669,40.945443101885544,-108.37258397509783
2018-12-15 16:10:00,N5QN,32.9521,-97.1375,KI7TYH,47.5688,-122.3958,14.0,,Raytrace,iri2016,2669,40.945443101885544,-108.37258397509783
2018-12-15 16:20:00,N5QN,32.9521,-97.1375,KI7TYH,47.5688,-122.3958,14.0,,Raytrace,iri2016,2669,40.945443101885544,-108.37258397509783
2018-12-15 21:20:00,N5QN,32.9521,-97.1375,KI7TYH,47.5688,-122.3958,14.0,,Raytrace,iri2016,2669,40.945443101885544,-108.37258397509783
2018-12-15 21:30:00,N5QN,32.9521,-97.1375,KI7TYH,47.5688,-122.3958,14.0,,Raytrace,iri2016,2669,40.945443101885544,-108.37258397509783
2018-12-15 21:50:00,N5QN,32.9521,-97.1375,KI7TYH,47.5688,-122.3958,14.0,,Raytrace,iri2016,2669,40.945443101885544,-108.37258397509783
2018-12-15 22:00:00,N5QN,32.9521,-97.1375,KI7TYH,47.5688,-122.3958,14.0,,Raytrace,iri2016,2669,40.945443101885544,-108.37258397509783
2018-12-15 22:10:00,N5QN,32.9521,-97.1375,KI7TYH,47.5688,-122.3958,14.0,,Raytrace,iri2016,2669,40.945443101885544,-108.37258397509783
2018-12-15 22:40:00,N5QN,32.9521,-97.1375,KI7TYH,47.5688,-122.3958,14.0,,Raytrace,iri2016,2669,40.945443101885544,-108.37258397509783
2018-12-15 23:40:00,N5QN,32.9521,-97.1375,KI7TYH,47.5688,-122.3958,14.0,,Raytrace,iri2016,2669,40.945443101885544,-108.37258397509783
2018-12-15 23:50:00,N5QN,32.9521,-97.1375,KI7TYH,47.5688,-122.3958,14.0,,Raytrace,iri2016,2669,40.945443101885544,-108.37258397509783
2018-12-16,N5QN,32.9521,-97.1375,KI7TYH,47.5688,-122.3958,14.0,,Raytrace,iri2016,2669,40.945443101885544,-108.37258397509783
