date,call_sign_tx,txlat,txlon,call_sign_rx,rxlat,rxlon,tfreq,sn,smode,ssrc,pthlen,latcen,loncen
2018-12-15 17:40:00,N9UA,44.03,-88.74,AI6DG,38.4813,-121.3958,14.0,,Raytrace,iri2016,2779,42.425552563775554,-105.78131944931445
2018-12-15 17:50:00,N9UA,44.03,-88.74,AI6DG,38.4813,-121.3958,14.0,,Raytrace,iri2016,2779,42.425552563775554,-105.78131944931445
2018-12-15 19:30:00,N9UA,44.03,-88.74,AI6DG,38.4813,-121.3958,14.0,,Raytrace,iri2016,2779,42.425552563775554,-105.78131944931445
2018-12-15 19:40:00,N9UA,44.03,-88.74,AI6DG,38.4813,-121.3958,14.0,,Raytrace,iri2016,2779,42.425552563775554,-105.78131944931445
2018-12-15 21:00:00,N9UA,44.03,-88.74,AI6DG,38.4813,-121.3958,14.0,,Raytrace,iri2016,2779,42.425552563775554,-105.78131944931445
2018-12-15 21:20:00,N9UA,44.03,-88.74,AI6DG,38.4813,-121.3958,14.0,,Raytrace,iri2016,2779,42.425552563775554,-105.78131944931445
2018-12-15 21:30:00,N9UA,44.03,-88.74,AI6DG,38.4813,-121.3958,14.0,,Raytrace,iri2016,2779,42.425552563775554,-105.78131944931445
2018-12-15 21:40:00,N9UA,44.03,-88.74,AI6DG,38.4813,-121.3958,14.0,,Raytrace,iri2016,2779,42.425552563775554,-105.78131944931445
2018-12-15 21:50:00,N9UA,44.03,-88.74,AI6DG,38.4813,-121.3958,14.0,,Raytrace,iri2016,2779,42.425552563775554,-105.78131944931445
2018-12-15 23:20:00,N9UA,44.03,-88.74,AI6DG,38.4813,-121.3958,14.0,,Raytrace,iri2016,2779,42.425552563775554,-105.78131944931445
