date,call_sign_tx,txlat,txlon,call_sign_rx,rxlat,rxlon,tfreq,sn,smode,ssrc,pthlen,latcen,loncen
2018-12-15 17:20:00,W0EGS,38.8958,-104.875,KD0JHZ,41.7021,-91.6708,14.0,,Raytrace,iri2016,1161,40.487018191379875,-98.41064916300775
2018-12-15 17:30:00,W0EGS,38.8958,-104.875,KD0JHZ,41.7021,-91.6708,14.0,,Raytrace,iri2016,1161,40.487018191379875,-98.41064916300775
2018-12-15 17:40:00,W0EGS,38.8958,-104.875,KD0JHZ,41.7021,-91.6708,14.0,,Raytrace,iri2016,1161,40.487018191379875,-98.41064916300775
2018-12-15 17:50:00,W0EGS,38.8958,-104.875,KD0JHZ,41.7021,-91.6708,14.0,,Raytrace,iri2016,1161,40.487018191379875,-98.41064916300775
2018-12-15 19:10:00,W0EGS,38.8958,-104.875,KD0JHZ,41.7021,-91.6708,14.0,,Raytrace,iri2016,1161,40.487018191379875,-98.41064916300775
2018-12-15 19:20:00,W0EGS,38.8958,-104.875,KD0JHZ,41.7021,-91.6708,14.0,,Raytrace,iri2016,1161,40.487018191379875,-98.41064916300775
2018-12-15 19:30:00,W0EGS,38.8958,-104.875,KD0JHZ,41.7021,-91.6708,14.0,,Raytrace,iri2016,1161,40.487018191379875,-98.41064916300775
2018-12-15 19:40:00,W0EGS,38.8958,-104.875,KD0JHZ,41.7021,-91.6708,14.0,,Raytrace,iri2016,1161,40.487018191379875,-98.41064916300775
2018-12-15 19:50:00,W0EGS,38.8958,-104.875,KD0JHZ,41.7021,-91.6708,14.0,,Raytrace,iri2016,1161,40.487018191379875,-98.41064916300775
2018-12-15 21:20:00,W0EGS,38.8958,-104.875,KD0JHZ,41.7021,-91.6708,14.0,,Raytrace,iri2016,1161,40.487018191379875,-98.41064916300775
2018-12-15 21:30:00,W0EGS,38.8958,-104.875,KD0JHZ,41.7021,-91.6708,14.0,,Raytrace,iri2016,1161,40.487018191379875,-98.41064916300775
2018-12-15 21:40:00,W0EGS,38.8958,-104.875,KD0JHZ,41.7021,-91.6708,14.0,,Raytrace,iri2016,1161,40.487018191379875,-98.41064916300775
