date,call_sign_tx,txlat,txlon,call_sign_rx,rxlat,rxlon,tfreq,sn,smode,ssrc,pthlen,latcen,loncen
2018-12-15 13:10:00,W5RRR,29.5604,-95.0958,N2OO,39.6458,-74.2917,14.0,,Raytrace,iri2016,2201,35.04652522585506,-85.33404575110092
2018-12-15 13:20:00,W5RRR,29.5604,-95.0958,N2OO,39.6458,-74.2917,14.0,,Raytrace,iri2016,2201,35.04652522585506,-85.33404575110092
2018-12-15 13:30:00,W5RRR,29.5604,-95.0958,N2OO,39.6458,-74.2917,14.0,,Raytrace,iri2016,2201,35.04652522585506,-85.33404575110092
2018-12-15 13:40:00,W5RRR,29.5604,-95.0958,N2OO,39.6458,-74.2917,14.0,,Raytrace,iri2016,2201,35.04652522585506,-85.33404575110092
2018-12-15 13:50:00,W5RRR,29.5604,-95.0958,N2OO,39.6458,-74.2917,14.0,,Raytrace,iri2016,2201,35.04652522585506,-85.33404575110092
2018-12-15 14:00:00,W5RRR,29.5604,-95.0958,N2OO,39.6458,-74.2917,14.0,,Raytrace,iri2016,2201,35.04652522585506,-85.33404575110092
2018-12-15 14:30:00,W5RRR,29.5604,-95.0958,N2OO,39.6458,-74.2917,14.0,,Raytrace,iri2016,2201,35.04652522585506,-85.33404575110092
2018-12-15 14:40:00,W5RRR,29.5604,-95.0958,N2OO,39.6458,-74.2917,14.0,,Raytrace,iri2016,2201,35.04652522585506,-85.33404575110092
2018-12-15 14:50:00,W5RRR,29.5604,-95.0958,N2OO,39.6458,-74.2917,14.0,,Raytrace,iri2016,2201,35.04652522585506,-85.33404575110092
2018-12-15 15:10:00,W5RRR,29.5604,-95.0958,N2OO,39.6458,-74.2917,14.0,,Raytrace,iri2016,2201,35.04652522585506,-85.33404575110092
2018-12-15 16:00:00,W5RRR,29.5604,-95.0958,N2OO,39.6458,-74.2917,14.0,,Raytrace,iri2016,2201,35.04652522585506,-85.33404575110092
2018-12-15 16:10:00,W5RRR,29.5604,-95.0958,N2OO,39.6458,-74.2917,14.0,,Raytrace,iri2016,2201,35.04652522585506,-85.33404575110092
2018-12-15 16:20:00,W5RRR,29.5604,-95.0958,N2OO,39.6458,-74.2917,14.0,,Raytrace,iri2016,2201,35.04652522585506,-85.33404575110092
2018-12-15 16:30:00,W5RRR,29.5604,-95.0958,N2OO,39.6458,-74.2917,14.0,,Raytrace,iri2016,2201,35.04652522585506,-85.33404575110092
2018-12-15 18:00:00,W5RRR,29.5604,-95.0958,N2OO,39.6458,-74.2917,14.0,,Raytrace,iri2016,2201,35.04652522585506,-85.33404575110092
2018-12-15 18:10:00,W5RRR,29.5604,-95.0958,N2OO,39.6458,-74.2917,14.0,,Raytrace,iri2016,2201,35.04652522585506,-85.33404575110092
2018-12-15 18:20:00,W5RRR,29.5604,-95.0958,N2OO,39.6458,-74.2917,14.0,,Raytrace,iri2016,2201,35.04652522585506,-85.33404575110092
2018-12-15 18:30:00,W5RRR,29.5604,-95.0958,N2OO,39.6458,-74.2917,14.0,,Raytrace,iri2016,2201,35.04652522585506,-85.33404575110092
2018-12-15 18:40:00,W5RRR,29.5604,-95.0958,N2OO,39.6458,-74.2917,14.0,,Raytrace,iri2016,2201,35.04652522585506,-85.33404575110092
2018-12-15 19:00:00,W5RRR,29.5604,-95.0958,N2OO,39.6458,-74.2917,14.0,,Raytrace,iri2016,2201,35.04652522585506,-85.33404575110092
2018-12-15 19:30:00,W5RRR,29.5604,-95.0958,N2OO,39.6458,-74.2917,14.0,,Raytrace,iri2016,2201,35.04652522585506,-85.33404575110092
2018-12-15 20:10:00,W5RRR,29.5604,-95.0958,N2OO,39.6458,-74.2917,14.0,,Raytrace,iri2016,2201,35.04652522585506,-85.33404575110092
2018-12-15 20:20:00,W5RRR,29.5604,-95.0958,N2OO,39.6458,-74.2917,14.0,,Raytrace,iri2016,2201,35.04652522585506,-85.33404575110092
2018-12-15 20:30:00,W5RRR,29.5604,-95.0958,N2OO,39.6458,-74.2917,14.0,,Raytrace,iri2016,2201,35.04652522585506,-85.33404575110092
2018-12-15 20:40:00,W5RRR,29.5604,-95.0958,N2OO,39.6458,-74.2917,14.0,,Raytrace,iri2016,2201,35.04652522585506,-85.33404575110092
2018-12-15 20:50:00,W5RRR,29.5604,-95.0958,N2OO,39.6458,-74.2917,14.0,,Raytrace,iri2016,2201,35.04652522585506,-85.33404575110092
2018-12-15 21:00:00,W5RRR,29.5604,-95.0958,N2OO,39.6458,-74.2917,14.0,,Raytrace,iri2016,2201,35.04652522585506,-85.33404575110092
2018-12-15 21:30:00,W5RRR,29.5604,-95.0958,N2OO,39.6458,-74.2917,14.0,,Raytrace,iri2016,2201,35.04652522585506,-85.33404575110092
