date,call_sign_tx,txlat,txlon,call_sign_rx,rxlat,rxlon,tfreq,sn,smode,ssrc,pthlen,latcen,loncen
2018-12-15 15:20:00,W7KFO,44.3125,-120.875,K1HZ,33.1688,-96.6958,14.0,,Raytrace,iri2016,2422,39.36542885243481,-107.82494071943779
2018-12-15 16:30:00,W7KFO,44.3125,-120.875,K1HZ,33.1688,-96.6958,14.0,,Raytrace,iri2016,2422,39.36542885243481,-107.82494071943779
2018-12-15 16:40:00,W7KFO,44.3125,-120.875,K1HZ,33.1688,-96.6958,14.0,,Raytrace,iri2016,2422,39.36542885243481,-107.82494071943779
2018-12-15 17:00:00,W7KFO,44.3125,-120.875,K1HZ,33.1688,-96.6958,14.0,,Raytrace,iri2016,2422,39.36542885243481,-107.82494071943779
2018-12-15 18:30:00,W7KFO,44.3125,-120.875,K1HZ,33.1688,-96.6958,14.0,,Raytrace,iri2016,2422,39.36542885243481,-107.82494071943779
2018-12-15 19:20:00,W7KFO,44.3125,-120.875,K1HZ,33.1688,-96.6958,14.0,,Raytrace,iri2016,2422,39.36542885243481,-107.82494071943779
2018-12-15 20:10:00,W7KFO,44.3125,-120.875,K1HZ,33.1688,-96.6958,14.0,,Raytrace,iri2016,2422,39.36542885243481,-107.82494071943779
2018-12-15 20:30:00,W7KFO,44.3125,-120.875,K1HZ,33.1688,-96.6958,14.0,,Raytrace,iri2016,2422,39.36542885243481,-107.82494071943779
2018-12-15 21:20:00,W7KFO,44.3125,-120.875,K1HZ,33.1688,-96.6958,14.0,,Raytrace,iri2016,2422,39.36542885243481,-107.82494071943779
2018-12-15 22:00:00,W7KFO,44.3125,-120.875,K1HZ,33.1688,-96.6958,14.0,,Raytrace,iri2016,2422,39.36542885243481,-107.82494071943779
2018-12-15 22:10:00,W7KFO,44.3125,-120.875,K1HZ,33.1688,-96.6958,14.0,,Raytrace,iri2016,2422,39.36542885243481,-107.82494071943779
2018-12-15 22:20:00,W7KFO,44.3125,-120.875,K1HZ,33.1688,-96.6958,14.0,,Raytrace,iri2016,2422,39.36542885243481,-107.82494071943779
2018-12-15 23:10:00,W7KFO,44.3125,-120.875,K1HZ,33.1688,-96.6958,14.0,,Raytrace,iri2016,2422,39.36542885243481,-107.82494071943779
2018-12-15 23:40:00,W7KFO,44.3125,-120.875,K1HZ,33.1688,-96.6958,14.0,,Raytrace,iri2016,2422,39.36542885243481,-107.82494071943779
