date,call_sign_tx,txlat,txlon,call_sign_rx,rxlat,rxlon,tfreq,sn,smode,ssrc,pthlen,latcen,loncen
2018-12-15 13:50:00,W7OS,33.5,-111.0,KV8C,42.5313,-83.4708,14.0,,Raytrace,iri2016,2597,38.82528072664501,-98.1018675677874
2018-12-15 14:00:00,W7OS,33.5,-111.0,KV8C,42.5313,-83.4708,14.0,,Raytrace,iri2016,2597,38.82528072664501,-98.1018675677874
2018-12-15 14:10:00,W7OS,33.5,-111.0,KV8C,42.5313,-83.4708,14.0,,Raytrace,iri2016,2597,38.82528072664501,-98.1018675677874
2018-12-15 14:20:00,W7OS,33.5,-111.0,KV8C,42.5313,-83.4708,14.0,,Raytrace,iri2016,2597,38.82528072664501,-98.1018675677874
2018-12-15 16:00:00,W7OS,33.5,-111.0,KV8C,42.5313,-83.4708,14.0,,Raytrace,iri2016,2597,38.82528072664501,-98.1018675677874
2018-12-15 16:40:00,W7OS,33.5,-111.0,KV8C,42.5313,-83.4708,14.0,,Raytrace,iri2016,2597,38.82528072664501,-98.1018675677874
2018-12-15 16:50:00,W7OS,33.5,-111.0,KV8C,42.5313,-83.4708,14.0,,Raytrace,iri2016,2597,38.82528072664501,-98.1018675677874
2018-12-15 18:40:00,W7OS,33.5,-111.0,KV8C,42.5313,-83.4708,14.0,,Raytrace,iri2016,2597,38.82528072664501,-98.1018675677874
2018-12-15 18:50:00,W7OS,33.5,-111.0,KV8C,42.5313,-83.4708,14.0,,Raytrace,iri2016,2597,38.82528072664501,-98.1018675677874
2018-12-15 19:00:00,W7OS,33.5,-111.0,KV8C,42.5313,-83.4708,14.0,,Raytrace,iri2016,2597,38.82528072664501,-98.1018675677874
2018-12-15 19:10:00,W7OS,33.5,-111.0,KV8C,42.5313,-83.4708,14.0,,Raytrace,iri2016,2597,38.82528072664501,-98.1018675677874
2018-12-15 20:50:00,W7OS,33.5,-111.0,KV8C,42.5313,-83.4708,14.0,,Raytrace,iri2016,2597,38.82528072664501,-98.1018675677874
2018-12-15 21:00:00,W7OS,33.5,-111.0,KV8C,42.5313,-83.4708,14.0,,Raytrace,iri2016,2597,38.82528072664501,-98.1018675677874
2018-12-15 21:10:00,W7OS,33.5,-111.0,KV8C,42.5313,-83.4708,14.0,,Raytrace,iri2016,2597,38.82528072664501,-98.1018675677874
2018-12-15 21:20:00,W7OS,33.5,-111.0,KV8C,42.5313,-83.4708,14.0,,Raytrace,iri2016,2597,38.82528072664501,-98.1018675677874
2018-12-15 21:30:00,W7OS,33.5,-111.0,KV8C,42.5313,-83.4708,14.0,,Raytrace,iri2016,2597,38.82528072664501,-98.1018675677874
2018-12-15 21:40:00,W7OS,33.5,-111.0,KV8C,42.5313,-83.4708,14.0,,Raytrace,iri2016,2597,38.82528072664501,-98.1018675677874
2018-12-15 23:40:00,W7OS,33.5,-111.0,KV8C,42.5313,-83.4708,14.0,,Raytrace,iri2016,2597,38.82528072664501,-98.1018675677874
2018-12-15 23:50:00,W7OS,33.5,-111.0,KV8C,42.5313,-83.4708,14.0,,Raytrace,iri2016,2597,38.82528072664501,-98.1018675677874
2018-12-16,W7OS,33.5,-111.0,KV8C,42.5313,-83.4708,14.0,,Raytrace,iri2016,2597,38.82528072664501,-98.1018675677874
