date,call_sign_tx,txlat,txlon,call_sign_rx,rxlat,rxlon,tfreq,sn,smode,ssrc,pthlen,latcen,loncen
2018-12-15 14:50:00,WT3X,39.94,-75.3,K1NA,31.2292,-85.4583,14.0,,Raytrace,iri2016,1333,35.691027979145446,-80.65666991174328
2018-12-15 15:00:00,WT3X,39.94,-75.3,K1NA,31.2292,-85.4583,14.0,,Raytrace,iri2016,1333,35.691027979145446,-80.65666991174328
2018-12-15 15:10:00,WT3X,39.94,-75.3,K1NA,31.2292,-85.4583,14.0,,Raytrace,iri2016,1333,35.691027979145446,-80.65666991174328
2018-12-15 15:20:00,WT3X,39.94,-75.3,K1NA,31.2292,-85.4583,14.0,,Raytrace,iri2016,1333,35.691027979145446,-80.65666991174328
2018-12-15 15:30:00,WT3X,39.94,-75.3,K1NA,31.2292,-85.4583,14.0,,Raytrace,iri2016,1333,35.691027979145446,-80.65666991174328
2018-12-15 15:40:00,WT3X,39.94,-75.3,K1NA,31.2292,-85.4583,14.0,,Raytrace,iri2016,1333,35.691027979145446,-80.65666991174328
2018-12-15 15:50:00,WT3X,39.94,-75.3,K1NA,31.2292,-85.4583,14.0,,Raytrace,iri2016,1333,35.691027979145446,-80.65666991174328
2018-12-15 16:40:00,WT3X,39.94,-75.3,K1NA,31.2292,-85.4583,14.0,,Raytrace,iri2016,1333,35.691027979145446,-80.65666991174328
2018-12-15 16:50:00,WT3X,39.94,-75.3,K1NA,31.2292,-85.4583,14.0,,Raytrace,iri2016,1333,35.691027979145446,-80.65666991174328
2018-12-15 17:00:00,WT3X,39.94,-75.3,K1NA,31.2292,-85.4583,14.0,,Raytrace,iri2016,1333,35.691027979145446,-80.65666991174328
2018-12-15 17:10:00,WT3X,39.94,-75.3,K1NA,31.2292,-85.4583,14.0,,Raytrace,iri2016,1333,35.691027979145446,-80.65666991174328
2018-12-15 17:20:00,WT3X,39.94,-75.3,K1NA,31.2292,-85.4583,14.0,,Raytrace,iri2016,1333,35.691027979145446,-80.65666991174328
2018-12-15 17:30:00,WT3X,39.94,-75.3,K1NA,31.2292,-85.4583,14.0,,Raytrace,iri2016,1333,35.691027979145446,-80.65666991174328
2018-12-15 17:40:00,WT3X,39.94,-75.3,K1NA,31.2292,-85.4583,14.0,,Raytrace,iri2016,1333,35.691027979145446,-80.65666991174328
2018-12-15 17:50:00,WT3X,39.94,-75.3,K1NA,31.2292,-85.4583,14.0,,Raytrace,iri2016,1333,35.691027979145446,-80.65666991174328
2018-12-15 18:00:00,WT3X,39.94,-75.3,K1NA,31.2292,-85.4583,14.0,,Raytrace,iri2016,1333,35.691027979145446,-80.65666991174328
2018-12-15 18:40:00,WT3X,39.94,-75.3,K1NA,31.2292,-85.4583,14.0,,Raytrace,iri2016,1333,35.691027979145446,-80.65666991174328
2018-12-15 18:50:00,WT3X,39.94,-75.3,K1NA,31.2292,-85.4583,14.0,,Raytrace,iri2016,1333,35.691027979145446,-80.65666991174328
2018-12-15 19:00:00,WT3X,39.94,-75.3,K1NA,31.2292,-85.4583,14.0,,Raytrace,iri2016,1333,35.691027979145446,-80.65666991174328
2018-12-15 19:10:00,WT3X,39.94,-75.3,K1NA,31.2292,-85.4583,14.0,,Raytrace,iri2016,1333,35.691027979145446,-80.65666991174328
2018-12-15 19:20:00,WT3X,39.94,-75.3,K1NA,31.2292,-85.4583,14.0,,Raytrace,iri2016,1333,35.691027979145446,-80.65666991174328
2018-12-15 19:30:00,WT3X,39.94,-75.3,K1NA,31.2292,-85.4583,14.0,,Raytrace,iri2016,1333,35.691027979145446,-80.65666991174328
2018-12-15 19:40:00,WT3X,39.94,-75.3,K1NA,31.2292,-85.4583,14.0,,Raytrace,iri2016,1333,35.691027979145446,-80.65666991174328
2018-12-15 19:50:00,WT3X,39.94,-75.3,K1NA,31.2292,-85.4583,14.0,,Raytrace,iri2016,1333,35.691027979145446,-80.65666991174328
2018-12-15 21:10:00,WT3X,39.94,-75.3,K1NA,31.2292,-85.4583,14.0,,Raytrace,iri2016,1333,35.691027979145446,-80.65666991174328
